guests;beruf;bereich;partei;geschlecht
Jenny Havemann;;;;
Martina von Münchhausen ;;;;
Britta Hilper;;;;
Marco Buschmann;politiker;bund;fdp;mann
Michel Friedman;;;;
Wiebke Judith;;;;
Gudrun Engel;;;;
Rüdiger von Fritsch;;;;
Guido Steinberg;wissenschaftler;;;mann
Celia Šašić;;;;
Thomas Roth;;;;
Christian Dürr;;;;
Julia Verlinden;politiker;bund;gruene;frau
Petra Pinzler;;;;
(Publizistin;;;;
Heinrich von Pierer;manager;;;mann
Grünen;;;;
Mit Christian Wulff;;;;
Antje Höning;;;;
Hubertus Heil;politiker;bund;spd;mann
Franz Müntefering;;;;
Nikolaus Blome;journalist;;;mann
Nele Thönnessen;;;;
Karl-Theodor zu Guttenberg;;;;
Martin Kind;;;;
Navid Kermani;;;;
Olaf Sundermeyer;journalist;;;mann
Prof. Dr. Christian Böttger;;;;
Julie Kurz;;;;
Michael Roth;;;;
Egon Ramms;;;;
Prof. Dr. Stefan Kooths;;;;
Ina Ruck;journalist;;;frau
Prof. Dr. Thomas Biebricher;;;;
Marina Weisband;;;;
Dorothea Siems;journalist;;;frau
Heinz Hilgers;;;;
Ulrich Reitz;;;;
Peter Tschentscher;politiker;hamburg;spd;mann
Daniel Untch;;;;
Michael Kellner;;;;
Ann-Katrin Büüsker;;;;
profilierte ZDF-Talker;;;;
Kristina Dunz;;;;
Helmut Markwort;;;;
Mario Voigt;politiker;thueringen;cdu;mann
Annette Kurschus;pfarrer;;;frau
Christine Aschenberg-Dugnus;politiker;bund;fdp;frau
Dorothee Bär;politiker;bund;csu;frau
Sönke Neitzel;;;;
Philipp Amthor;politiker;bund;cdu;mann
Michael Theurer;politiker;bund;fdp;mann
Boris Bondarew;;;;
Jürgen Becker;;;;
Yasmine M'Barek;;;;
Prof. Dr. Ursula Münch;;;;
Frank Rombey;;;;
Frederik Pleitgen;journalist;;;mann
Luisa Thomé;;;;
Thomas Kessen;;;;
Christoph Schwennicke;;;;
Andreas Audretsch;politiker;bund;gruene;mann
Angriff der russischen Streitkräfte am 24. Februar 2022 veränderte das Leben der Ukrainerinnen;;;;
Johannes Vogel;;;;
Tijen Onaran;;;;
Hendrik Streeck;;;;
FDP sind verhärtet;;;;
Jagoda Marinić;;;;
Talkshow;;;;
Ann-Kathrin Büüsker;;;;
Nils Kumkar;;;;
George Weinberg;;;;
Ulrich Wickert;;;;
im Interview Margot Friedländer;;;;
Günther Beckstein;;;;
Ronen Steinke;;;;
Amira Mohamed Ali;;;;
Florian Stern;;;;
Hildegard Müller;;;;
Constantin Schreiber;;;;
Gesellschaf;;;;
Heidi Reichinnek;;;;
Nachrichtensendungen.;;;;
Silke Müller;;;;
Heinz Rudolf Kunze;;;;
Steffi Lemke;;;;
Mit Kevin Kühnert;;;;
Isabel Schayani;;;;
Martin Machowecz;;;;
Peer Steinbrück;;;;
Abdul Chahin;;;;
Gerhard Conrad;;;;
Juli Zeh;;;;
Raphael Gross;;;;
Das Thema dieskutieren Saskia Esken;;;;
Jan van Aken;;;;
Dr. Christian Stäblein;;;;
Katharina Dröge;;;;
Markus Blume;;;;
