sendung;uebersicht;folge
markus_lanz;https://www.zdf.de/gesellschaft/markus-lanz;https://www.zdf.de/gesellschaft/markus-lanz/markus-lanz-vom-20-juni-2024-100.html
anne_will;https://daserste.ndr.de/annewill/archiv/erste318_glossaryPage-1.html;https://daserste.ndr.de/annewill/archiv/Die-Welt-in-Unordnung-Ist-Deutschland-Herausforderungen-gewachsen,erste11746.html
maybrit_illner;https://www.zdf.de/politik/maybrit-illner;https://www.zdf.de/politik/maybrit-illner/blockierte-republik-verhindert-die-ampel-den-aufschwung-maybrit-illner-vom-2-mai-2024-100.html
hart_aber_fair;https://www1.wdr.de/daserste/hartaberfair/sendungen/index.html;https://www1.wdr.de/daserste/hartaberfair/sendungen/kampf-um-europa-siegen-die-populisten-100.html
maischberger;https://www.daserste.de/information/talk/maischberger/sendung/maischberger-sendungen-filter-100~_seite-0.html;https://www.daserste.de/information/talk/maischberger/sendung/maischberger-958.html
